name,description,category,primary_muscle,secondary_muscle,tertiary_muscle,equipment_needed,difficulty_level,instructions
"Barbell Bench Press","Classic compound chest exercise performed lying on a bench","Free Weight","Middle Chest","Triceps","Front Deltoids","Barbell, Bench","Intermediate","Lie on bench, grip barbell slightly wider than shoulders, lower to chest, press up"
"Barbell Squat","Fundamental compound lower body exercise","Free Weight","Quadriceps","Glutes","Hamstrings","Barbell, Squat Rack","Intermediate","Place barbell on upper back, squat down keeping chest up, drive through heels to stand"
"Conventional Deadlift","Hip hinge movement lifting barbell from floor","Free Weight","Hamstrings","Glutes","Erector Spinae","Barbell","Advanced","Stand over bar, grip with hands outside legs, lift by extending hips and knees"
"Barbell Row","Bent-over rowing movement for back development","Free Weight","Latissimus Dorsi","Rhomboids","Rear Deltoids","Barbell","Intermediate","Bend over holding barbell, row to lower chest, squeeze shoulder blades"
"Overhead Press","Standing shoulder press with barbell","Free Weight","Front Deltoids","Triceps","Upper Abdominals","Barbell","Intermediate","Stand with barbell at shoulder level, press overhead, lower with control"
"Barbell Curl","Bicep isolation exercise","Free Weight","Biceps","Forearms","Brachialis","Barbell","Beginner","Stand holding barbell, curl up by flexing biceps, lower slowly"
"Close-Grip Bench Press","Tricep-focused bench press variation","Free Weight","Triceps","Middle Chest","Front Deltoids","Barbell, Bench","Intermediate","Lie on bench, grip barbell with hands close together, press up focusing on triceps"
"Barbell Hip Thrust","Glute-focused hip extension exercise","Free Weight","Glutes","Hamstrings","Upper Abdominals","Barbell, Bench","Intermediate","Sit against bench with barbell over hips, thrust hips up squeezing glutes"
"Romanian Deadlift","Hip hinge movement emphasizing hamstrings","Free Weight","Hamstrings","Glutes","Erector Spinae","Barbell","Intermediate","Hold barbell, hinge at hips lowering bar, return to standing"
"Front Squat","Squat variation with barbell held in front","Free Weight","Quadriceps","Upper Abdominals","Glutes","Barbell, Squat Rack","Advanced","Hold barbell at shoulder level, squat down keeping torso upright"
"Barbell Lunge","Single-leg exercise with barbell","Free Weight","Quadriceps","Glutes","Calves","Barbell","Intermediate","Step forward into lunge position, lower back knee, push back to start"
"Upright Row","Vertical pulling exercise for shoulders","Free Weight","Shoulders","Traps","Biceps","Barbell","Intermediate","Hold barbell close to body, pull up to chest level, lower slowly"
"Barbell Shrug","Trapezius isolation exercise","Free Weight","Traps","None","None","Barbell","Beginner","Hold barbell, shrug shoulders up, hold briefly, lower"
"Skull Crusher","Tricep isolation exercise lying down","Free Weight","Triceps","None","None","Barbell, Bench","Intermediate","Lie on bench, hold barbell over chest, lower to forehead, extend back up"
"Barbell Preacher Curl","Bicep curl performed on preacher bench","Free Weight","Biceps","Forearms","None","Barbell, Preacher Bench","Intermediate","Sit at preacher bench, curl barbell up, lower slowly"
"Sumo Deadlift","Wide-stance deadlift variation","Free Weight","Glutes","Quadriceps","Hamstrings","Barbell","Advanced","Wide stance, grip barbell inside legs, lift by extending hips and knees"
"Incline Barbell Press","Chest press on inclined bench","Free Weight","Upper Chest","Shoulders","Triceps","Barbell, Incline Bench","Intermediate","Lie on incline bench, press barbell from chest to arms extended"
"Decline Barbell Press","Chest press on declined bench","Free Weight","Lower Chest","Triceps","Shoulders","Barbell, Decline Bench","Intermediate","Lie on decline bench, press barbell from chest to arms extended"
"Barbell Calf Raise","Calf strengthening exercise","Free Weight","Calves","None","None","Barbell","Beginner","Hold barbell on shoulders, rise up on toes, lower slowly"
"Barbell Good Morning","Hip hinge exercise for posterior chain","Free Weight","Hamstrings","Glutes","Lower Back","Barbell","Advanced","Barbell on shoulders, hinge at hips bending forward, return to upright"
"Dumbbell Bench Press","Chest press using dumbbells","Free Weight","Chest","Triceps","Shoulders","Dumbbells, Bench","Intermediate","Lie on bench with dumbbells, press up from chest level"
"Dumbbell Flye","Chest isolation exercise","Free Weight","Chest","Shoulders","None","Dumbbells, Bench","Intermediate","Lie on bench, arc dumbbells out and down, squeeze chest to return"
